SampleID	phenotype1	phenotype2
090818-A06_52	NA	NA
090818-A07_54	108.8333333	82
090818-A08_62	NA	NA
090818-A09_64	NA	NA
090818-A10_91	NA	NA
090818-A11_104	77.5	70
090818-A12_159	NA	NA
090820-B01_169	85.75	77
090820-B02_170	86	77
090820-B03_172	73.5	66
090820-B04_229	56.5	50
090820-B05_245	78.91666667	76
090820-B06_247	74.91666667	65
090820-B07_263	73.25	65
090820-B08_265	77.91666667	78
090820-B09_281	85.33333333	70
090820-B10_284	81	77
090820-B11_292	67.83333333	NA
090820-B12_294	85.66666667	79
090820-C01_295	78.75	76
090820-C04_390	91.25	NA
090820-C05_620	91.5	NA
090820-C06_623	90	NA
090820-C07_624	86.5	NA
090820-C08_625	85.5	NA
090820-C09_626	90.5	NA
090820-C10_627	62	NA
090820-C11_630	84.5	NA
090820-C12_632	81.5	NA
090818-D01_633	94.5	NA
090818-D02_634	89	NA
@52067200649406102410408632092214_244	106.4166667	80
@52067200649406102410408632092221_135	93.16666667	78
@52067200649406102410408632092225_326	84.25	NA
@52067200649406102410408632092227_37	85.83333333	NA
@52067200649406102410408632092231_629	72.5	NA
@52067200649406102410408632092233_342	90.25	79
@52067200649406102410408632092236_319	100.75	76
@52067200649406102410408632092240_90	82.58333333	67
@52067200649406102410408632092246_327	90	57
@52067200649406102410408632092248_322	98.75	NA
@52067200649406102410408632092250_112	97	78
@52067200649406102410408632092260_352	NA	NA
@52067200649406102410408632092272_231	65.5	54
@52067200649406102410408632092281_227	107.1666667	NA
@52067200649406102410408632092282_167	88.08333333	71
@52067200649406102410408632092292_253	82.66666667	78
@52067200649406102410408632092294_246	94.75	64
@52067200649406102410408632092297_239	78.5	76
@52067200649406102410408632092300_397	88.25	79
@52067200649406102410408632092302_618	78.5	NA
@52067200649406102410408632092303_373	88.75	NA
@52067200649406102410408632092305_260	89.41666667	NA
@52067200649407102410408632092327_338	79.66666667	71
@52067200649407102410408632092330_249	74.33333333	62
@52067200649407102410408632092336_388	90.81818182	NA
@52067200649407102410408632092338_365	73	66
@52067200649407102410408632092341_307	78	66
@52067200649407102410408632092354_21	98.75	73
@52067200649407102410408632092363_256	62.75	55
@52067200649407102410408632092365_339	86	80
@52067200649407102410408632092399_133	89.625	NA
@52067200649407102410408632092410_216	109.0833333	NA
